name, math, english, programming_1, programming_2, statistics, business
Ryan Brosius,21,83,65,62,83
Roy Sullivan,65,27,47,64,24
Edward Parker,47,37,29,82,10
Rebecca Ramirez,16,90,52,17,80
Carlos Covington,15,76,95,39,60
Tanya Gass,30,100,46,29,42
Brandon Borjas,46,30,21,78,11
Reginald Hatfield,21,39,27,86,21
Lindsay Wells,56,22,11,64,89
Justin Chapman,49,7,8,96,6
Mallory Ball,8,5,99,47,96
Ollie Lupton,83,4,60,88,95
Courtney Terry,70,46,37,100,55
Sandy Chenoweth,59,65,100,71,7
Nancy Kirkpatrick,49,64,100,3,71
Dee Garner,67,15,64,13,25
Nora Ellis,94,71,30,95,84
Jonathan Lewis,6,9,58,5,11
Nita Kruger,90,30,8,60,65
Gertrude Gilmer,28,14,54,47,34
Jeff Laperouse,1,4,78,86,31
John Fulmer,73,31,78,77,51
Diana Allen,40,69,29,93,7
Ollie Leedy,55,79,65,23,53
Nettie Hendrix,70,20,12,4,84
Michael Nichols,45,17,47,14,22
Thomas Cross,40,70,63,77,65
Rosemarie Wright,49,3,18,39,32
Danny Tarnoff,6,17,48,26,12
Sara Eberly,12,11,32,5,18
Martha Troia,83,83,3,93,8
David Black,16,19,64,93,12
Jessie Swanson,34,47,12,70,44
David Sandoval,5,12,95,73,52
David Jeffcoat,32,63,86,94,37
Ronald Mclaughlin,36,4,71,64,62
Alice Arrington,97,4,52,47,58
Heather Reese,64,19,49,72,55
Melinda Richardson,9,23,76,72,14
Megan Guzman,0,50,93,13,5
Adam Bentley,21,72,97,71,53
Eric Lorber,39,69,22,3,62
Jeanne Coy,73,37,8,66,16
James Benoit,73,56,100,1,34
Jean Proctor,32,14,90,23,45
Maria Bouillon,64,93,100,44,71
Amber Miller,89,94,15,44,98
Beatrice Mitchell,8,10,67,2,77
Shawn Blanco,54,53,69,32,47
Donna Lane,74,48,11,66,81
Katherine Durden,79,58,67,77,66
Calvin Bishop,59,84,88,55,61
Maria Armstead,54,21,37,90,10
Leonard Kathan,53,58,32,69,12
Barbara Miller,6,68,85,92,0
Kermit Lawson,88,77,92,78,17
Charles Derrick,11,39,87,66,16
William Swaim,44,13,4,86,39
Jill Bove,75,25,25,54,52
Patricia Ballard,78,85,24,91,32
Lora Picklesimer,85,59,81,86,54
James Benson,39,37,61,74,86
Flora Jobst,14,83,6,70,72
Bill Yentsch,17,91,15,46,35
David Townsend,58,28,1,60,46
Randall Price,95,17,41,20,3
Lola Morales,43,79,93,30,40
Gail Nunn,7,43,65,78,67
William January,51,99,76,15,50
Cleveland Lambert,65,52,64,55,74
Marilyn Ault,40,67,96,42,19
Herschel Railey,86,72,62,22,51
Tina Carrell,44,12,95,42,21
Larry Steadman,69,13,13,31,97
Sharon Allen,57,59,63,72,27
John Rivera,11,94,81,40,40
Stanley Vance,77,46,99,83,0
Allen Sano,17,28,2,91,27
Debora Ford,30,11,27,100,48
Jayme Darnell,17,91,71,49,34
Ruth Andrews,37,8,45,65,96
Virginia Camfield,38,72,74,81,59
Micheal Brendal,14,0,71,16,13
Matt Atchison,3,8,4,86,100
Diane Rufi,18,50,57,94,88
Maria Storlie,29,92,80,23,31
Dave Sisk,74,17,66,43,26
Rudolph Jeffers,49,49,99,6,54
Ira Hastings,82,51,64,79,19
Ruth Siegfried,51,6,1,64,11
John Harvey,72,47,18,29,94
Patrick Skelton,69,57,45,17,2
Jordan Pirrone,70,73,56,32,84
Marylou Temblador,24,13,8,65,57
Marie Cordero,50,6,4,98,56
Nathan Jean,1,60,11,27,20
Della Samantha,84,76,59,61,63
Darlene Cashin,98,41,94,48,64
Bryan Dvorak,89,19,29,100,56
Joel Kittell,48,83,41,97,92
Douglas Moret,27,66,34,15,99
Mildred Love,31,52,0,89,51
Tracy Schuler,68,17,34,31,82
Carlos Floyd,47,61,24,23,62
Shayla Hernandez,97,7,35,71,88
Anisa Grindstaff,12,68,4,57,34
Jackie Parsons,20,64,98,88,85
Thomas Baginski,7,52,0,73,50
Alexa Doonan,43,23,8,17,7
Jose Griffiths,87,9,48,17,11
William Curry,13,24,32,95,23
Tim Parisi,62,76,25,45,8
Rosalie Bankard,66,67,88,15,25
Jacqueline Lawson,69,24,86,73,25
Melissa Schober,98,17,36,53,96
Paul Guintanilla,38,59,80,18,16
Henry Williams,82,95,94,7,4
Melissa Tassin,47,46,74,72,73
Florence Miller,11,3,43,35,87
Benjamin Connaughton,53,11,43,39,48
Genevieve Katz,31,34,34,37,76
Thomas Walker,47,15,45,37,83
Margaret Parks,5,31,21,48,88
Sandra Allen,100,16,85,42,27
Lance Weaver,14,94,84,5,50
Jeanette Wild,31,66,18,90,4
Freda Saling,24,10,21,84,21
Clara Castillo,33,69,4,75,42
Juana Thompson,23,99,94,22,57
Edward Hawthorne,18,21,26,61,42
Dennis Turner,64,50,65,100,42
Stacey Burlingham,83,91,36,94,18
Annette Russell,13,75,39,54,58
Juanita Rodriguez,27,35,65,88,48
Robert Huebner,0,53,7,38,64
Gilberto Hunter,13,23,79,45,34
Naomi Sams,96,62,55,12,24
Kimberly Mullikin,100,62,65,61,57
Joseph Ridlon,17,8,62,87,2
Carol Tran,41,98,11,100,9
Ryan Green,38,22,22,25,80
Eunice Mccullough,93,27,61,62,36
Rebecca Chan,67,85,11,24,35
Diana Yingst,64,14,9,6,100
Robert Mcgee,10,63,61,28,87
Marissa Bain,91,29,61,74,19
Kirk Fossett,98,34,96,6,57
Anita Craig,14,80,85,30,20
Catrina Weaver,73,35,40,29,45
Laura Lovell,100,20,19,3,90
Catherine Sullivan,15,56,74,11,100
John Williams,64,35,60,100,47
Beatrice Houston,59,46,51,49,41
Neal Myers,29,24,20,67,82
Thomas Yoder,11,11,70,44,95
John King,71,63,78,41,36
Anna Pennington,75,92,19,22,41
Jennifer Ranieri,83,82,21,79,41
Peter Carter,25,69,56,42,61
Wendy Beauchemin,91,54,73,48,24
Florence Henry,98,58,27,49,30
Susan Halterman,0,37,0,40,99
Christina Allgood,59,54,38,68,51
Denise Ball,67,76,75,29,11
Darnell Turner,69,71,34,51,30
Alicia James,36,96,59,63,50
Michael East,95,74,44,21,74
Mikel Travis,83,14,91,69,0
Rodger Pearson,18,20,66,29,33
Mark Lopez,88,24,63,52,98
Frances Jones,91,38,73,81,87
Mary Quinones,44,18,69,68,49
Eugene Scelzo,80,37,37,4,11
James Rose,93,30,68,61,99
Emogene Harkins,32,90,1,33,30
David Rivera,75,37,21,45,5
Danny Dawson,7,38,66,76,53
Seth Bass,78,8,21,58,77
Kenneth Guest,19,20,76,53,79
James Galow,49,22,84,71,47
Reginald Carpenter,37,60,28,85,2
Patricia Earing,26,0,17,91,47
Daniel Ross,52,44,19,83,27
Thomas Sneed,0,80,35,80,58
Mary Kerr,60,51,74,58,90
Debra Stalling,11,19,42,75,1
James Mcdonald,29,64,96,43,92
Mary Jordan,59,57,9,36,45
John Meyer,49,81,5,99,45
Mike Houge,56,50,92,53,96
George Scanlon,87,45,46,37,69
Patrick Young,38,78,14,77,35
James Dalessandro,81,75,47,74,45
Barbara Austin,57,57,86,99,39
Charles Humphreys,30,46,32,5,95
Aurora Mendoza,84,28,69,46,85
Katrina Morin,85,5,48,76,1
James Wilbur,85,21,94,3,3
Ofelia Sutherland,16,83,4,19,20
Charles Higgin,26,54,0,75,14
Juan Thompson,93,25,12,93,3
Jose Dorfman,11,35,83,25,46
Brian Stephenson,89,57,43,46,21
Jane Perry,69,68,18,59,79
Eric Wilson,69,79,51,72,16
Norma Cress,62,80,10,94,10
Richard Gooch,89,82,37,20,25
Fernando Maker,83,7,81,76,60
Lee Petrucci,15,91,70,51,86
Lee Wilson,7,12,22,10,66
Mary Martinez,60,94,81,53,42
Andrew Tart,75,88,10,62,13
Edward White,45,10,38,85,37
Isobel Smith,24,12,17,63,43
Michelle Haveman,9,73,38,90,51
Alvin Carrier,29,85,38,61,39
Larry Priest,59,7,19,64,1
Wade Smith,84,71,46,4,18
Thomas Butler,81,3,77,58,29
Jaime Fugitt,52,15,95,45,74
Erin Mitchell,21,75,13,18,15
Donald Cairone,55,61,51,76,9
Rita Hopkins,82,45,85,41,28
Crystal Banda,68,50,50,98,77
Cleo Mallory,78,60,64,26,86
David Turgeon,74,14,46,56,31
Roy Chisolm,48,15,75,39,2
Arleen Cabrera,14,22,53,89,20
Amanda Thompson,95,75,9,39,5
Richard Garcia,5,79,80,23,26
Joanne Simmons,55,73,25,83,24
Cynthia Pantoja,74,27,34,88,39
Robert Haller,33,27,76,48,90
Joyce Stuck,61,9,25,91,77
Melvin Talaga,15,6,75,66,82
Viola Miller,50,86,5,98,44
Ronald Markel,74,18,13,91,87
John Stam,23,56,12,40,2
William Smith,66,78,23,58,60
Carlos Butler,80,61,57,26,55
Mildred Kinlaw,90,64,95,69,54
Helen Williams,77,44,20,46,18
Gregory Dowdy,76,7,51,47,89
Julia Cline,6,19,83,93,46
William Imler,80,59,38,87,65
John Clark,69,47,80,70,69
Michael Fitzpatrick,41,99,61,85,36
Joe Lawley,38,93,27,24,43
Mildred Gruber,2,44,95,60,41
Darlene Knoedler,74,78,16,61,76
Andrew Martin,29,3,51,93,98
Ronald Mckenzie,25,30,73,19,2
Linda Rosenow,53,21,42,83,70
Steve Quintero,50,33,65,63,23
Lee Galloway,84,97,11,77,54
Ida Rife,61,95,66,16,94
Gerald Smith,49,51,58,97,26
Margaret Ricketts,28,48,25,83,6
Roderick Ferguson,52,47,42,98,36
Steven Keller,52,23,36,17,50
Gloria Jenkins,32,20,80,90,92
Dianna Phillips,76,81,10,12,36
Tina Hoover,92,59,38,45,28
Danny Lewis,50,89,27,95,94
Richard Torres,69,84,81,42,36
Marc Golson,84,79,28,16,80
Ginny Chapman,47,4,13,45,98
Michael Heaton,1,93,76,100,14
Walter Garrett,36,7,60,90,44
Dora Tobias,67,95,76,100,67
Jesus Bevers,68,48,18,46,56
Diana Macdougall,3,35,19,29,61
Angie Long,96,58,76,23,1
Meryl Boyle,60,67,68,55,37
April Pimentel,80,100,48,18,55
Kathy Shelby,25,3,19,2,74
Alma Reedy,34,35,1,59,38
Samuel Garcia,89,64,13,85,80
Juan Medina,82,83,52,32,73
Stephen Barbieri,99,12,13,22,99
Fred Lindsay,66,98,83,37,55
Abraham Batson,82,89,45,76,79
Steve Thompson,23,76,15,30,86
Audrey Wildes,22,87,25,33,58
Christopher Johnston,70,35,72,2,4
Michelle Reeves,21,39,57,15,59
Rocio Moore,26,16,18,87,25
John Osterstuck,72,91,6,37,34
Matthew Carter,50,4,71,32,62
Virginia Warner,41,59,93,96,49
Scott King,11,7,46,21,10
Horace Phillips,4,74,91,79,77
Gordon Salisbury,82,10,15,31,20
Robert Woltz,30,8,28,60,98
Frances Mccutcheon,58,84,31,61,35
Gladys Pierce,35,54,54,29,4
Marco Brann,36,70,42,71,42
Shawnda Anderson,58,33,50,95,93
Peggy Hader,14,6,94,1,93
Lloyd Juarez,38,1,2,21,50
Fred Matthews,69,36,58,53,32
Vanessa Lyons,50,51,45,70,41
Sandra Gunn,79,7,51,7,100
Ann Davis,30,82,49,37,42
Marie Drelick,3,27,72,1,30
Betty Rankins,26,79,23,32,5
Dorothy Green,86,38,87,47,51
Dillon Caravello,52,97,34,99,45
Daysi Walling,43,89,21,19,30
James Seville,5,46,12,21,56
Mary Finigan,83,5,24,59,27
Lena Bosworth,46,26,9,75,9
Andrew Thompson,85,85,41,80,39
Beth Richards,90,53,51,50,88
John Royster,39,53,18,51,13
Sandra Jones,87,64,64,56,96
Lucy Parker,16,30,92,65,32
Sean Brown,50,17,50,35,100
Shanda Marc,17,32,30,52,13
Susan Johnson,87,46,45,54,9
Debbie Flink,69,46,64,81,66
Jennifer Lunsford,46,23,53,34,15
Lucy Aiken,5,82,93,96,53
Heather Marinese,1,17,8,92,82
Jean Clark,12,38,73,24,4
Gertrude Hayes,75,9,61,65,82
Curtis Lundeen,57,75,27,35,23
Robert Glover,37,39,64,70,18
Adam Watson,92,81,59,78,76
Frances Hassan,83,77,35,55,9
William Arnold,21,82,26,42,38
Al Magic,5,32,55,38,89
Kathleen Bess,75,88,76,2,77
Eleanor Rhea,35,32,81,82,83
Yesenia Mayoka,73,25,76,86,70
Jack Gregory,92,70,17,12,75
Dan Courser,64,26,67,28,38
Claude Gordon,48,17,9,84,66
Lynette Abrew,61,6,44,73,10
John Mcclanahan,86,4,0,94,8
Sandra Albero,65,10,66,81,55
Armand White,32,5,68,65,3
Joseph Clontz,80,20,35,88,78
Robert Lane,42,86,45,46,28
Michael Purser,13,24,12,98,16
Jimmy Najera,86,11,61,44,86
Veronica Casey,89,32,85,34,26
Betty Torres,40,71,13,69,88
Laura Chambers,83,8,84,44,66
Sandi Melnick,8,68,74,44,58
Deborah Aiello,33,8,45,89,91
Cecil Valdez,64,90,3,91,39
David Thomas,6,7,2,2,65
Travis Ellingwood,82,40,5,85,21
Dean Burleson,3,54,36,44,4
Louis Taylor,2,28,86,89,4
Lawrence Parker,45,62,67,2,85
Connie Gaines,20,35,3,46,86
Janet Snyder,90,13,7,2,97
Heather Diamond,15,86,88,45,68
Gregory Bowen,84,10,83,16,95
Cecilia Hays,3,74,71,14,57
Joseph Casey,5,68,53,5,22
Bryan Ryan,3,83,88,23,8
Janet Runyan,83,51,27,34,29
Richard Tanner,20,5,67,40,71
Bernard Segovia,9,6,3,41,0
Linda Henderson,94,13,10,82,5
Brandie Obrien,70,63,89,87,61
Roger Swanson,95,17,67,4,68
Tina Oneil,37,6,82,94,98
Monet Stiles,98,16,8,33,78
Ernie Satterthwaite,16,98,27,77,22
Juan Charette,41,67,86,77,84
Morgan Thornberg,93,59,6,45,46
Jose Rosko,68,68,81,55,7
Katrina Sparks,74,32,18,61,36
Lauren Jones,42,65,89,81,20
Michelle Boyle,47,42,89,26,78
Wanda Scott,77,70,70,5,33
Virginia Speziale,89,88,8,55,92
Maria Mcclain,85,38,84,67,1
Kay Thompson,77,36,68,11,53
Eileen Allen,55,4,12,73,38
Elaine Warmack,28,30,61,80,0
Douglas Mulhall,26,37,75,67,59
Claretta Thibodeaux,68,91,99,47,74
Joanne Wood,36,45,84,94,12
Gregory Gittens,16,0,87,10,74
Kirsten Taylor,87,27,68,21,98
Jannie Winkler,32,47,62,68,54
Christopher White,81,13,77,89,6
Marvin Ramos,59,49,4,64,1
Katherine Colombo,6,60,55,77,96
Dora Jensen,81,0,1,68,29
Edmund Hardy,42,92,3,88,90
Ruth Green,52,87,44,58,62
Stephanie Adams,41,4,12,8,96
Ricky Melara,34,84,85,18,97
Todd Davies,84,77,85,77,16
Charlotte Allen,81,80,68,100,79
Patricia Wolfe,34,87,50,73,18
Elizabeth Charley,95,52,42,50,11
Frank Smith,48,87,13,50,16
Rebecca Wood,91,10,95,60,29
Earnest Border,39,51,87,52,70
Gerard Townsend,87,82,87,4,40
Joseph Watts,9,54,44,84,6
Douglas Sagar,77,19,96,43,35
Nancy Cena,74,10,92,55,51
Teresa Moorefield,66,34,1,6,59
John Chesnut,86,82,43,2,42
Charlene Dow,2,35,47,29,66
Tamika Smith,38,37,23,67,72
Jessica Roorda,72,40,61,99,90
Paul Mcdonald,48,5,63,17,23
Samuel Gibbs,74,82,93,75,1
Max Bittner,68,69,14,38,20
Aleta Cormier,26,69,18,55,95
Kimberley Oneal,75,58,51,34,69
Mary Renk,56,8,61,98,51
Charles Reihl,90,73,74,51,24
Gloria Lundy,83,97,79,100,59
Marsha Caron,62,100,94,85,54
Lois Bronson,1,75,14,80,60
James Aupperle,94,54,17,43,66
Diane Montgomery,72,51,35,33,79
Adam Jones,37,48,1,30,93
Concetta Zajac,21,49,17,32,100
Alicia Wernimont,83,15,39,34,47
John Kemp,100,16,99,41,27
Kathryn Madigan,68,89,36,80,59
Jessica Thrift,32,67,11,34,90
Chris Johnson,59,7,61,62,27
Beverly Rodriguez,47,28,58,46,96
Lamonica Willis,46,84,61,21,90
Michael Delgado,61,93,47,66,9
John Booth,26,8,29,68,20
Ruth Jackson,73,31,40,10,41
Fred Tabb,57,82,17,58,74
Rhonda Crotts,20,93,94,99,95
Jeffrey Riley,0,63,36,15,37
Shawn Harvey,17,49,27,58,82
Henry Skinner,92,4,46,13,96
Richard Ryans,82,43,78,69,18
Nelson Hickok,73,3,11,2,80
Patrick Etheridge,58,64,64,66,100
Mildred Turner,78,35,35,37,97
Clayton Perea,46,75,3,93,86
Jeffrey Huffman,99,77,90,46,90
Preston Carson,68,46,52,51,86
Brittany Floyd,77,48,38,20,63
Mary Kasper,29,49,17,16,38
Louise Paxton,85,29,26,76,55
Ariana Issa,94,94,70,72,97
Lisa Deleon,78,7,91,20,7
Lydia Bruce,50,39,7,91,9
Sean Magill,84,75,28,0,18
Todd Haverstock,72,63,40,78,82
Jenny Shaffer,97,84,7,77,24
Jean Lefebvre,56,10,10,54,38
Erin Espada,97,47,90,28,49
Elizabeth Girard,90,32,61,40,36
Betty Tarlow,12,36,73,94,79
Marianne Batten,15,49,27,66,71
Gloria Gusler,87,80,62,29,9
Daniel Detwiler,12,35,55,73,12
Tiffany Bates,8,53,75,38,17
Anthony Adams,54,23,60,27,29
Jeanette Villalpando,69,18,45,1,68
Lisa Fisher,28,19,39,81,40
Donna Mcdonough,53,100,64,41,100
Steven Torres,35,11,48,83,57
Richard Dahlke,69,27,41,77,73
Chase Ellis,8,14,22,60,53
James Kavanaugh,70,73,95,99,93
Sherry Crosby,21,79,58,75,44
Bobby Petela,54,73,24,12,21
Michael Burnham,56,39,37,14,26
David Hicks,63,95,56,100,59
Maria Truitt,58,96,92,64,33
Edna David,84,55,56,100,66
Evan Parmer,69,59,87,7,5
Leroy Cobb,48,93,75,59,78
Gerald Hayes,11,64,88,52,59
David Gutierrez,32,91,57,100,5
Carl Ford,11,70,21,26,62
Christina Farrell,10,69,18,27,15
Richard Aguilera,83,34,23,78,27
Berniece Willis,11,98,43,26,23
Helena Casano,60,15,6,47,3
Laura Price,64,62,8,85,12
John Dorris,17,39,33,46,78
Linda Robinson,17,9,63,79,72
Carolyn Walker,86,55,2,86,0
Esther Teeters,64,34,74,26,57
Robert Dempsey,96,47,27,59,21
Jennifer Kelley,53,50,30,30,42
Jimmy Bowser,99,23,24,5,66
Juan Buddenhagen,78,0,69,35,66
Vernon Feld,76,6,13,58,11
Jennifer Green,56,31,85,34,24
Jason Ruff,25,88,28,62,91
John Wood,59,93,28,100,71
Beverley Kirkpatrick,9,32,49,21,82
Loren Gonzalez,100,76,18,63,17
David Carpenter,18,8,100,95,71
Lisa Collins,20,81,33,96,45
Christopher Crawford,38,38,47,59,98
Linda Kissee,15,39,75,11,85
Ethel Hale,54,71,2,81,14
Nicholas Tipka,32,66,98,44,70
Juan Beam,34,59,71,31,13
Carol Braxton,67,42,35,58,14
Theresa Nichols,0,13,49,3,99
John Pickles,48,95,6,68,64
Juan Weems,18,74,16,89,79
Kelley Ramos,70,32,53,45,27
Sandra Tiley,77,83,5,16,79
Barry Williams,76,93,64,50,72
Melissa Ballas,12,12,96,47,62
Norman Ransom,91,61,39,8,78
Jessica Brown,61,97,14,33,30
William Gagnon,80,39,20,26,24
Charles King,61,47,4,1,37
Shawn Gross,11,52,12,97,15
Paula Shelton,67,80,78,35,54
William Vail,10,85,3,36,36
Delores Schlesener,40,32,29,43,97
Diane Robinson,18,70,55,19,89
Rachel Austin,0,72,72,44,69
David Lindsey,94,29,97,67,0
Patricia Warren,88,82,50,91,27
James Lasher,0,25,22,35,44
Greg Mirabal,20,72,42,10,26
Robin Boudreau,70,51,42,1,64
Roger Rollins,42,12,7,8,9
Gladys Jamerson,54,85,1,12,80
Bobby Junker,100,10,33,69,3
Pablo Bacher,100,86,42,7,11
Stephen Johnson,79,66,5,94,12
William Mink,49,70,11,65,72
Kim Stokes,42,33,8,85,89
Velma Higuera,69,20,68,32,40
Francisco Evey,3,80,18,56,32
Thomas Fegley,73,73,90,45,39
Scott Arnett,83,33,61,90,43
John Corcoran,50,96,36,88,91
Betty Silva,24,43,31,60,63
Samuel Rodriguez,63,3,90,65,21
Stephanie Kinnear,88,97,12,40,35
Denise Beil,32,66,34,69,15
Peter Koch,85,52,24,0,52
Jeffery Bonnett,37,74,32,7,44
Carolyn Clarence,59,71,9,85,17
Ignacio Street,44,38,16,58,11
Andrew Mcguire,35,28,59,3,1
Andrea Stone,6,22,47,70,15
Roger Dietz,60,13,5,89,31
Alyssa Burruss,5,1,93,25,55
Teresa Garcia,87,87,75,52,65
Dong Thornton,20,83,83,50,15
Donald King,51,97,62,10,20
John Williams,20,88,60,98,24
Glenn Bayne,51,5,5,9,0
Brianne Schafer,25,58,91,11,73
Donald Robinson,11,91,24,30,98
Daniela Herrera,94,59,71,24,55
Victor Sims,28,22,5,24,27
Richard Schreckengost,51,48,91,83,46
Kim Griffin,34,91,49,3,48
Max Barrios,50,0,19,72,58
Carmen Przybyla,6,69,48,76,52
Bruce Land,20,24,68,54,37
George Long,89,77,6,24,24
Lillian Carlson,99,28,2,90,35
Holly Mccumber,94,64,15,23,98
Shelley Heimbach,4,67,57,100,53
Carl Abdullah,28,22,12,15,57
Jeffrey Waller,55,67,97,37,84
Mary Coleman,38,98,17,58,30
Jacqueline Shambo,79,99,0,74,59
Gregory Perlman,27,88,35,82,94
Shannon Hobbs,100,62,76,80,45
Rudy Erickson,87,63,30,88,21
Richard Green,48,37,4,35,8
Cynthia Davenport,80,64,85,81,82
Brandon Mcmillan,75,34,43,98,79
James Moore,95,28,28,74,62
Melanie Hough,40,25,48,85,71
Gregory Arrington,24,29,92,86,16
Mary Espinoza,17,31,0,25,26
Kathryn Brown,54,35,38,61,91
Lance Lugones,26,23,8,100,99
Rose Soto,88,30,29,89,67
Anthony Lawson,9,81,78,61,95
Christine Lewis,65,30,91,80,71
Donnell Pazmino,59,77,69,54,53
Beatriz Harris,94,37,92,53,45
Ann Her,42,1,65,42,95
Sharon Taylor,0,82,50,11,64
Beatrice Toliver,30,86,61,37,50
Mark Warmack,7,90,90,60,81
Robert Englehart,57,58,42,64,83
Ronald Silva,82,77,78,48,1
Gary Cooley,17,69,64,52,14
Diana Lusk,6,43,16,49,15
Susan Greene,78,80,49,19,18
Camilla Straugh,15,62,97,70,32
Gale Hanson,46,13,67,37,44
Melissa Mitchell,98,29,24,26,27
Elizabeth Gholson,59,73,97,64,5
Robert Wilson,69,15,29,87,85
Andrea Aultman,69,32,56,75,98
Michelle Robertson,11,86,39,98,25
Susan Rausch,75,31,66,23,88
Carmen Mcafee,62,62,83,48,76
Tommy Quinn,52,97,59,10,2
Terri Turner,95,61,73,40,48
Carolyn Gonzalez,53,75,70,12,43
Deborah Davis,9,74,62,18,51
Alison Duke,82,15,100,39,4
John Dorris,53,8,39,4,56
Tracy Bryant,69,76,83,10,30
Thomas Lugo,0,80,10,57,69
Linda Dandurand,81,39,15,49,31
Kelly Corkins,18,85,35,65,18
Brandon Rodibaugh,65,70,8,59,11
Aileen Walker,81,59,20,6,56
Rufus Ross,20,97,15,67,22
Hector Deleo,83,55,88,81,48
Jo Israels,70,9,66,51,28
Carmelita Savage,99,25,56,61,15
Francis Lopez,14,26,74,61,83
Terry Malone,78,64,10,28,48
Ellen Lister,39,72,80,70,83
Edwin Hsu,13,40,96,25,94
Linda Williams,18,51,74,76,50
Matthew Benson,53,30,19,96,62
Shawn Holmes,52,80,56,63,2
Rosemary Kaplan,80,96,51,92,81
Ester Gross,9,29,18,3,44
Clara Varner,100,17,68,28,50
Valerie Smith,51,72,20,98,19
Darrel Patterson,56,54,44,40,35
Debra Mcevoy,23,46,44,34,30
William Giglio,87,84,21,57,2
Robert Andrews,31,6,96,40,54
Mark Hogan,16,50,44,83,6
Cheryl Walker,30,82,49,5,47
George Pinheiro,91,28,9,2,65
Geraldine Weaver,5,2,58,67,2
Christopher Kozak,95,45,22,35,57
Christina Oktavec,14,29,83,50,88
Billie Conner,56,15,15,89,72
Kimberly Cromwell,78,14,27,11,33
Jason Smith,46,32,25,73,100
Anna Conner,25,96,82,69,27
Vernon Green,56,98,17,100,59
Adrian Rankin,93,57,37,44,34
Neal Brown,100,7,2,97,22
Kelsey Canas,23,73,7,96,71
Debbie Woods,87,11,45,66,20
Linda Fillingham,90,12,55,9,32
Lynell Davenport,21,47,47,95,86
Donna Francescone,52,36,80,87,54
Raquel Prezzia,77,57,46,28,87
Christina Connelly,32,36,80,92,29
Melissa Pollard,77,43,7,4,64
Carl Simmons,15,40,49,52,15
Joe Unterreiner,30,42,35,88,43
Carol Aragon,70,13,59,20,88
Ricardo Bowman,93,17,71,1,23
Natalie Little,54,69,53,16,16
Cheryl Gustafson,9,17,77,43,42
Debbie Balboa,25,60,58,17,28
Gerald Ackerman,80,20,3,77,33
Jessica Hedgespeth,89,10,0,31,85
Jeanette Mickey,96,70,50,94,45
Jeff Lane,8,59,30,41,60
Robert Miles,1,44,51,79,39
Duane Carlson,98,80,11,14,87
Julie Dix,78,31,8,84,15
Eileen Qualls,68,95,87,26,93
Gilberto Estes,26,78,78,75,46
Dionna Dillard,37,34,30,91,99
