name, math, english, programming_1, programming_2, statistics
Greg Nau,69,25,85,45,42
Sharon Azevedo,57,69,59,28,20
Lola Gregory,100,37,57,7,29
Larry Buchanan,96,38,43,34,99
Amy White,11,33,47,52,48
Travis Stillwagon,29,11,90,90,10
Louie Wood,4,92,41,85,49
Robert Morgan,29,85,69,86,81
Gary Seith,11,57,37,15,67
Helen Kostiuk,1,33,5,13,59
Thomas Spain,42,93,40,51,72
Pearlie Bradshaw,97,5,63,86,98
Richard Cruz,25,62,17,35,87
Willie Wilkins,73,45,72,17,94
Anna Williams,23,53,38,6,17
Sonia Guieb,62,47,59,7,31
Mark Sommers,17,46,70,65,25
Wanda Wise,24,89,25,94,92
Jennifer Thompson,68,58,7,83,80
Ted Dolney,43,77,95,3,55
Marla Bryant,42,92,15,59,28
Celia Garza,15,89,87,4,68
Stella Sheehan,95,17,44,77,42
Ernest Baird,4,62,2,49,61
Russell Louis,72,55,10,94,62
Deborah Adams,73,32,43,9,38
Adan Larocca,65,3,51,19,20
Raul Bragg,87,63,52,77,57
Mark Poulin,79,25,55,19,1
Sarah Rigdon,69,37,43,100,99
Elvera Pearce,71,61,4,46,62
Mary Roser,28,100,74,72,24
Sarah Williams,15,94,37,65,70
Caroline Coulson,73,39,81,79,90
Stephen Ward,73,80,41,59,7
Nestor Lopinto,5,71,91,35,75
Al Aubin,93,67,46,26,63
Leora Guzman,41,74,89,11,48
Gladys Fagan,42,20,48,28,19
Dennis Dent,28,47,80,3,74
Teri Hutcherson,57,32,39,25,49
Kathy Thompson,20,10,26,4,53
Richard Halverson,62,11,66,93,75
Anita Kiser,6,84,79,71,96
Karen Conner,48,28,90,49,26
Eddie Malcolm,65,61,89,59,73
David Bryant,19,52,17,92,4
Emanuel Barrera,78,10,80,21,97
Michele Brown,14,12,4,7,48
William Jacobson,12,75,83,63,25
Laura Peccia,62,3,44,19,10
Keith Spotts,79,76,70,58,93
Joyce Taylor,80,8,30,40,4
Ronald Grossen,49,17,76,80,42
Nina Joy,84,89,84,67,93
Paul Murray,29,11,9,27,23
Darlene Harding,4,16,90,39,54
Gary Rios,10,12,83,95,53
Kourtney Hurdle,50,85,55,14,52
Janina Ellis,60,33,11,99,95
Daisy Caldwell,0,62,66,95,67
Tara Barta,69,12,66,86,17
Roscoe Holladay,38,98,97,1,52
Clifford Campbell,76,34,31,37,83
Sandra Pineda,69,93,57,29,80
Bernice Leahy,14,88,20,90,27
Maria Reyes,94,14,13,30,17
Shirley Lau,55,27,49,83,36
William Robinson,84,60,36,74,41
Jerry Gross,94,94,32,79,10
Lillie Moore,54,32,77,30,46
Dorothy Hammond,13,55,1,35,81
Betty Molina,67,90,37,30,72
Earl Williams,68,29,11,6,37
Angela Green,1,90,60,68,13
Daryl Knoll,82,20,38,45,81
William Brown,73,57,89,33,39
Jaime Baum,68,29,13,8,88
Fernando Ramos,61,13,42,33,63
Kira Freeman,32,36,57,73,79
Sandra Hilty,2,63,16,79,54
Michael Swank,72,24,71,77,46
Louis Morris,48,49,9,82,43
Nathaniel Dobbs,59,40,60,38,46
Annette Boehme,94,84,88,60,99
Christopher Kingsley,48,49,15,66,97
John Driscoll,8,46,33,69,50
Kathleen Musty,87,35,1,49,15
Aaron Maher,52,39,28,87,54
Christopher Mcneely,90,37,48,54,64
James Kulik,48,42,8,4,13
Samuel Lozano,57,40,46,48,33
Katherine Luna,39,45,94,51,99
Beverly Knowles,48,69,9,75,68
Christopher Waters,47,15,13,22,45
Barrett Kimbrough,98,99,64,35,40
Steven Acosta,87,33,65,36,47
Amanda Finnefrock,31,42,40,90,51
Robert Lewis,67,23,27,13,80
Francisco Lupo,49,89,55,97,7
Theodore Eggleston,69,36,51,89,0
Cari Kramarczyk,29,78,93,14,44
Leann Orosco,46,22,45,57,37
Michael Minor,27,97,4,86,13
Robert Redmond,56,59,97,49,43
Frank Ferry,83,83,95,27,96
Gregory Van,66,52,31,100,72
Marcella Banister,94,41,87,22,68
Timothy Watson,54,95,5,68,92
Elmer Keller,16,37,75,92,43
Victoria Rohan,74,63,93,32,100
Annette Garcia,63,44,96,75,47
Michael Robbins,87,92,100,60,28
Christopher Partridge,62,64,78,0,65
Donald Foster,4,44,43,32,76
Elvira Wong,72,51,67,84,27
John Speed,38,16,7,24,95
Christina Burton,17,39,42,55,82
Jack Erben,0,21,43,31,70
Virginia Beighley,56,42,39,65,86
Hiram Thomas,72,73,18,96,83
Larry Mccarthy,51,32,28,92,39
Joseph Allender,1,19,41,48,61
Mariah Shelby,80,60,15,79,23
Rocky Sawyer,76,3,35,72,98
Miguel Bellah,91,61,0,66,9
Mary Hunt,60,18,92,95,17
Cheryl Jones,0,59,42,82,75
Jacques Ligon,98,4,4,71,48
Elizabeth Janzen,29,95,98,74,90
Wesley Morrone,10,40,85,87,26
Vicente Messer,76,94,56,38,92
Robert Goff,15,4,53,19,35
Veronica Morgan,27,42,88,68,30
James Middleton,62,72,94,78,9
Lori Walker,15,25,27,35,55
Julie Shields,8,81,65,95,89
Jose Brown,22,4,27,79,29
Corey Presley,13,56,85,78,84
Myron Levine,49,68,100,12,8
Harold Jones,18,50,1,88,38
Lauren Houser,83,61,10,33,66
Lillian Cornell,31,0,38,48,6
Allen Pack,9,50,9,44,83
Mary Goss,42,51,65,24,27
Evan Paddock,74,99,13,37,27
Juanita Yenz,88,48,79,95,25
Mary Smith,27,71,84,71,72
Billy Wagner,95,94,5,100,76
Alice Jones,45,38,54,3,5
Tony Sheffield,44,53,80,61,37
Arturo Barkan,3,46,88,28,44
Latoya Clevenger,51,75,66,69,98
Scott Moses,72,13,66,39,24
Donald Groff,81,48,52,62,47
Kenneth Gobel,73,20,45,9,82
Tiffany Temple,63,26,23,43,36
Michelle Ovalle,68,12,71,46,35
Clifford Dunphy,63,3,61,21,15
Claire Luster,29,29,28,16,1
Ronald Coleman,42,70,34,91,3
Lillie Christ,17,22,68,92,47
James Bivins,83,5,85,65,58
Karla Luckenbach,9,39,20,88,35
Lillian Abel,43,57,76,58,83
Kenneth Abela,59,74,27,4,58
Jerry Bravo,65,61,63,20,16
Jeffery Johnson,77,15,79,47,12
Debra Knowles,33,12,37,88,35
Robert Alexander,25,37,81,52,64
Romeo Mcintyre,15,45,75,100,39
Vanessa Christian,87,91,75,42,53
Cynthia Conti,61,98,96,10,65
Ila Hatcher,71,49,61,75,53
Charles Mccaleb,24,55,25,79,58
Marie Harrison,56,22,31,31,61
Shirley Tyler,39,3,15,29,88
John Matinez,98,27,14,35,78
Daniel Vroom,2,20,25,10,87
Joe Curry,64,6,100,46,60
Steven Douglas,37,22,30,66,47
Denise Bixby,14,28,94,51,62
Christopher Rogers,3,30,16,88,74
David Flynn,9,63,89,19,57
Robert Dartez,60,54,70,84,95
Nicholas Cherry,10,58,65,96,72
Mary Fielden,43,28,83,9,59
David Clark,55,43,41,46,30
Mark Benson,39,27,34,34,42
Mary Jones,76,58,66,68,15
Diane Gabrielsen,86,16,71,5,57
Katherine Washing,37,68,66,73,43
George Coon,8,71,17,72,41
Theodore Mcguinness,6,66,75,99,94
Robin Dawson,73,5,76,49,12
Andrew Powell,58,9,66,48,96
Jeremy Ebert,63,89,22,23,67
Robert Walter,28,81,19,13,25
Ron Chon,13,73,77,96,77
Sheila Crow,46,78,39,21,25
Laurie Roberts,29,84,40,92,8
Mary Eby,16,54,47,94,53
Valerie Cruz,53,53,28,45,80
Edgar Denk,59,2,77,12,68
Brian Peterson,61,33,52,45,35
Kelly Craiger,35,58,11,97,57
James Cropper,31,73,70,20,31
Lynette Johnson,93,100,84,7,7
Maria Wu,6,76,55,87,30
James Harding,78,65,84,76,10
Jennifer Butler,41,15,59,75,74
Carole Lewis,20,88,33,59,66
John Mandala,15,6,82,10,97
Loreen James,85,50,45,3,87
Michael Everett,84,67,42,17,89
Lara Cantrell,19,76,72,65,10
Hortencia Godbolt,88,31,97,46,25
Betsy Ericksen,10,34,92,83,92
Sharon Walton,63,13,57,66,4
Robert Ennis,85,49,78,32,21
Amy Pappas,19,92,91,42,99
Lester Slater,44,47,95,37,61
Adrianne Branchaud,25,47,41,17,90
Thomas Goldberg,48,32,2,15,5
Jasmine Cleveland,0,71,52,56,29
Ronald Stuart,52,66,63,41,28
China Dryden,50,27,52,12,77
Christopher Howell,89,19,2,7,4
Andrew Serrano,17,3,20,14,27
George Hughes,48,31,54,50,62
Charlotte Kyer,8,78,34,49,78
Marcia Caulder,67,32,30,63,76
Samuel Briggs,20,55,49,7,39
Benjamin Alcorn,16,86,80,15,3
Clifford Cardenas,33,6,80,31,10
Robin Skinner,82,9,11,18,59
Patricia Hughes,90,34,71,46,10
Sarah Price,20,78,31,19,58
James Mueller,94,84,23,6,44
Laura Hecker,65,68,13,23,86
Janice Peterson,34,45,55,13,63
Phillip Snover,71,7,31,51,0
Kent Collison,33,60,58,44,34
Petra Holden,66,45,69,21,28
Faith Curry,18,57,52,9,43
Anthony Pratt,58,48,88,16,98
Patricia Battle,75,63,8,100,38
Vincent Williams,71,87,65,31,11
Cody Coke,42,20,89,87,57
Louise Cowman,52,23,34,20,35
Joyce Nguyen,28,100,88,24,77
Willie Mcgrath,75,98,24,26,81
Robert Harris,37,12,38,34,22
Clora Vance,92,98,28,11,62
Terri Hines,19,82,38,63,8
Consuelo Mcdade,15,23,7,13,68
Rita Earls,82,73,42,52,77
Sherry Timmerman,99,46,35,19,81
Krystyna Deruyter,96,7,93,22,20
Alexander Naquin,18,93,84,64,80
Carol Blomdahl,97,6,74,87,14
Pamela Snyder,23,91,40,10,30
Jeffery Seymore,70,18,40,95,55
Alice Earl,49,63,90,17,91
Joann Henkes,54,38,78,70,72
Maria Menefield,1,33,67,67,43
George Delaughter,14,29,64,95,76
Philip Wall,83,76,37,34,40
Gregory Ouellette,42,17,42,25,26
Mary White,50,32,12,17,15
Nora Uutela,38,13,20,62,91
James Hakimian,13,62,94,50,1
William Overall,31,33,90,40,48
Willie Hinton,74,40,86,23,49
Donald Tuck,54,74,97,9,13
Lisa Boeck,6,80,41,36,92
Earlene Drummond,51,19,61,27,92
Kimberly King,26,43,98,67,99
James Rudge,36,77,5,59,43
Juan Adams,98,81,81,29,89
Beverly Patterson,8,34,88,57,92
Gregorio Soto,2,20,48,25,97
Helen Batiste,5,49,20,45,82
Sonja Carideo,13,47,1,57,28
Denny Doyle,47,91,99,36,61
Sheila Wiley,42,11,44,46,40
James Majera,90,96,19,55,81
Lucy Wise,63,6,75,85,39
Joseph Young,73,25,50,5,85
Fred Coil,100,6,74,66,90
Manuel Cromwell,92,0,14,43,41
James Medina,82,62,89,98,1
Jesus Hill,78,82,52,72,90
William Cordova,54,3,62,56,3
Angie Wetzel,96,33,19,84,37
Doris Sipper,36,55,71,93,6
Alan Agnew,32,9,92,65,59
Jeffery Horton,85,85,35,67,23
Rosemarie Brennan,39,60,97,49,9
Scott Disney,41,78,43,51,72
Robert Kontos,32,64,82,56,53
Bob Fothergill,74,19,22,50,47
Sarah Martin,67,23,22,49,28
Irene Congdon,91,26,26,37,0
Megan Couley,92,84,99,40,82
Kathryn Tijerina,90,33,61,40,85
Sharon Abeyta,31,94,3,2,31
Joseph Hoopes,50,62,44,8,79
Dennis Johnson,96,27,14,84,51
Michael Singleton,1,9,68,37,100
Ada Still,42,49,5,34,98
Sharla Hoppe,24,86,77,57,41
Maria Jacobs,70,43,66,61,24
Angela Smith,31,80,34,14,20
Inez Hoey,18,61,33,10,45
David Gomez,46,96,42,77,85
Virginia Smith,10,48,97,86,74
Lawrence Coburn,96,3,80,27,42
Anita Davis,100,38,56,46,65
Hanna Nichols,46,34,43,43,18
Kathy So,55,83,25,76,54
Hazel Gough,15,97,85,18,25
Manuel Cifelli,48,74,36,34,23
Sonia Suter,92,84,31,70,52
Christina Dowell,42,72,3,83,11
Jenna Spangle,47,5,67,75,98
Thu Brooks,48,1,17,55,65
Merlin Signs,5,50,82,79,9
Loren Holliday,94,2,42,83,92
Luciano Vanorden,65,12,44,15,51
Buck Egersdorf,0,18,42,17,34
Linda Mcglade,47,100,65,43,21
Robert Stobb,15,12,100,10,54
Claude Trombetta,46,27,56,32,16
Kellie Burnett,58,87,94,20,11
Guadalupe Ballard,69,56,78,87,23
Jerry Castleman,23,49,33,0,6
Elmer Starks,35,55,72,45,44
Paul Jordan,54,82,14,3,68
Celeste Mancuso,91,27,47,87,23
William Gutierrez,85,13,3,20,90
Louis Badgett,18,62,55,85,82
Stephen Nabzdyk,95,29,88,57,68
Hunter Powell,79,46,30,18,4
Leslie Mcafee,92,100,95,53,71
Kayla Larson,89,19,25,36,60
Helen Smith,19,99,27,37,60
Eugene Woodson,76,88,1,62,36
Casey Rice,17,54,63,11,79
John Logue,79,7,2,5,13
Roberta Panahon,80,9,99,43,47
Victoria Warwick,67,8,87,7,62
John Carthen,78,16,58,98,86
Norbert Smith,100,64,80,99,3
Benton Gibson,41,24,93,20,6
John Sutch,51,37,33,70,74
Kiley Plummer,89,30,63,72,23
Nina Ross,61,39,51,67,80
Marie Best,57,71,82,99,65
Linda Brown,37,3,80,3,28
Susan Oman,51,96,42,47,90
Gerald Law,41,54,50,41,10
Charles Fancher,84,4,85,34,18
Jason Morris,55,1,60,20,81
Esther Parker,69,25,33,50,18
Richard Dean,94,42,57,46,95
Mildred Alleyne,98,24,26,54,47
Milford Brunner,100,79,46,0,8
Stacy Saunders,94,18,23,60,99
Jorge Hinds,91,8,25,41,58
Taylor Smisek,87,3,14,25,27
Gregory Summers,59,26,94,78,0
Patricia Snapp,95,77,64,17,11
Randy Calderin,18,96,85,68,44
Wiley Smith,68,82,14,77,18
William Hill,41,90,65,82,30
Robin Evans,9,36,77,15,86
Shannon Fryar,74,93,89,90,36
Yukiko Thomas,33,4,65,6,11
Robert Tyler,32,38,94,15,15
Aileen Escamilla,55,68,50,81,85
James Link,8,78,21,16,14
Quintin Bible,71,95,18,67,0
John Adomaitis,64,75,91,54,41
Roberta Prado,48,93,79,89,9
Margaret Olsen,38,55,89,82,34
Maurice Brazil,43,39,11,32,76
Emily Thornberry,6,26,41,73,15
Sandy Muniz,86,99,94,17,68
Jaime Huerta,31,65,96,65,62
David Whitten,28,16,95,65,59
Orville Starrick,93,89,36,91,76
Virginia Croft,83,22,36,14,35
Richard Devotie,56,6,60,19,63
Richard Battiste,73,92,26,3,29
Bryan Lennon,52,68,26,52,46
Julie Turner,8,6,5,69,95
Joseph Benningfield,32,79,61,27,6
Linda Thies,98,52,34,53,52
Cara Mathews,60,98,43,52,96
Robert Sales,79,60,17,34,13
Masako Payne,79,7,42,44,55
Ruth Cockrell,65,20,78,36,77
Leonor Todd,6,58,99,40,62
Steven Houghton,76,44,20,3,80
Lucille Drane,19,74,14,54,85
Paul Silberman,94,88,28,91,14
James Carlton,7,85,72,25,80
Maria Bassett,66,44,39,44,3
Kelly Farley,100,78,90,40,44
Peter Borgmeyer,33,46,91,63,40
Donna Little,90,33,63,4,57
Donald Jones,68,75,88,15,46
Melba Hankins,66,81,78,18,84
Clara Fischer,85,30,89,0,58
Christopher Alexander,84,7,68,24,60
Celia Davis,61,66,88,6,2
Robert Lowery,4,54,13,33,2
Paul Logan,40,15,86,64,63
Sandra Tompkins,28,39,71,2,67
Leonard Taus,62,10,0,23,23
Eva Jarvis,38,65,43,53,25
Martha Barraza,66,27,88,65,21
Luis Wagner,23,49,75,62,65
Beverly Edge,80,94,85,55,26
Mary Sulla,78,45,54,53,41
Jeffrey Pring,60,99,43,68,83
Page Martinez,63,98,72,12,11
Ruth Beasley,96,70,4,35,79
Regina Johnson,13,47,14,7,52
Leana Evans,70,84,62,84,79
Juana Jentzsch,40,78,100,36,77
Vernon Woody,91,49,33,58,36
Paula Baker,44,22,66,30,29
Anthony Sandoval,67,16,80,62,26
Brent Gains,20,33,23,63,54
Sally Mcalpine,60,37,36,72,97
Kyle Scarborough,57,22,39,63,22
Nancy King,39,46,100,0,77
Casey Matthews,59,0,45,50,84
Sheila Abram,98,90,52,48,3
Justin Mcfarland,75,40,67,26,30
Robert Hale,39,7,87,90,92
Susan Hampshire,20,28,3,92,68
Douglas Tsang,60,60,84,83,13
Stephanie Campbell,48,12,53,42,49
Brad Penttila,58,55,18,69,7
Lois Flores,35,37,19,70,73
Gail Gaspard,40,32,10,41,70
William Newhouse,59,57,77,68,94
Robert Harris,14,37,60,76,70
Thomas Yochum,69,32,76,51,86
Tammy Dixon,84,83,45,64,23
Izola Malcom,23,20,61,73,11
Elaine Leiva,22,46,46,51,51
Craig Thiel,14,31,22,52,10
Jack Stewart,14,64,8,27,73
Robert Gattison,27,80,100,22,15
Darren Biggs,41,61,83,81,58
Robert Conroy,31,41,12,76,58
Benjamin Brooks,52,11,33,89,90
William Norton,21,36,89,56,12
Richard Unger,55,40,57,100,31
Hilario Sunderland,7,52,57,1,13
Megan Byers,31,34,68,32,97
William Simpson,36,48,86,16,95
Laura Withrow,24,53,20,49,62
James Dagostino,77,79,84,2,62
Marvin Balowski,90,4,7,45,55
Julian Zimmerman,65,34,54,33,81
Eleanor Ovalle,46,93,35,43,22
Ellen Mcconnell,55,96,55,82,44
Armando Acosta,91,11,97,80,67
Arthur Moore,90,10,52,29,2
Debby Ganong,54,14,56,46,96
Rudy Kubica,35,98,7,29,14
Ralph Marchand,76,9,14,93,17
Emmanuel Baza,57,19,17,45,88
Shirley Stein,7,39,49,8,82
Julia Carter,44,82,20,86,6
William Tall,76,73,3,83,58
Christopher Richards,38,18,14,13,26
Irene Scott,58,92,9,11,69
Donald Harlin,49,16,35,28,12
Flora Nye,48,41,24,14,75
Deborah Zinke,46,97,82,88,27
Rosemary Dubois,97,51,51,93,80
Wayne Buckman,37,21,8,16,66
Bruce Kimmerle,40,13,95,61,46
Glenn Kline,10,72,98,8,88
Leslie Johnson,43,52,65,12,40
Kenneth Byrd,10,16,36,39,46
Jason Hawley,42,55,23,23,72
Barbara Tolles,87,54,0,3,73
Jacqueline Johnson,57,45,74,4,88
Derek Jones,88,1,39,55,100
