name, math, english, programming_1, programming_2, statistics
Tiffany Davis,30,42,79,75,54
Christine Estrada,53,69,94,7,35
Anthony Yang,93,84,43,60,23
Joel Hall,64,77,81,16,44
Anna Schwab,61,100,64,61,13
Frank Chavez,12,62,66,92,48
Andrew Fox,85,62,45,22,53
Samantha Fuller,53,42,69,46,60
Jon Vanwoert,8,9,74,11,89
Frances Custer,97,6,73,7,22
Barbara Tilson,63,97,10,22,81
Ann Partin,69,39,21,70,23
Mary Holton,90,6,22,89,37
Gabriel Turner,76,22,86,78,50
Allen Crimi,62,19,89,50,24
Viola Williams,69,42,62,99,41
Alex Hunt,29,63,53,24,71
Tina Asher,18,88,53,53,35
Ashlee Chandler,70,65,48,75,0
Tony Hsieh,48,75,79,32,56
Ethan Clark,46,17,37,66,19
Roy Vandekieft,14,66,92,28,92
Connie Graves,30,3,29,66,46
Gayla Jones,61,80,41,88,88
John Cruz,3,39,81,19,90
Phyllis Ford,17,4,57,55,97
Richard Morren,10,32,60,72,50
Sara Jose,6,86,2,6,21
Gary Estrella,38,84,11,89,73
Debbie Toon,92,35,77,99,10
Gussie Lovett,20,96,34,46,17
Damian Frazier,47,37,17,4,95
Guy Johnston,42,21,54,45,82
George Saltsman,4,25,92,40,51
Robert Akers,41,73,12,83,97
Scott Oloughlin,21,31,6,28,51
Stephen Lopez,21,11,25,1,89
Joe Johnson,64,93,49,30,36
Reba Stephens,68,93,89,88,58
Gilbert Lapalme,93,73,27,83,95
Harlan Isaacs,35,64,71,11,3
Robert Flores,8,81,68,95,87
Carolyn Gajate,76,4,8,30,19
Timothy Reed,54,79,9,74,44
Stephanie Smith,61,26,82,14,20
Frederick Gustafson,50,86,10,93,45
Martin Hayden,74,21,32,95,87
Roger Myhre,32,100,95,50,73
Ralph Cornelius,98,29,2,28,51
Clarence Stephens,17,49,17,79,72
Helen Wu,68,19,72,75,17
Henry Knight,64,7,24,2,80
Patsy Bowdre,39,52,5,71,96
Michael Davis,71,79,55,89,84
Miriam Deleon,90,14,81,89,57
John Mierzejewski,62,2,75,20,59
Daniel Jaremka,36,75,27,76,9
Kathleen Woodhouse,69,87,20,4,89
Betty Streb,35,46,69,90,92
Denny Redd,64,40,44,37,42
Robin Richardson,16,66,93,44,55
Donald Persinger,0,55,5,7,74
Patricia Washington,77,94,4,93,75
Douglas Winn,7,78,20,32,86
Marie Corbett,75,57,45,46,77
Justin Stenger,52,93,81,72,92
Margaret Smith,3,13,58,16,44
Young Mcconnell,97,74,19,15,45
Angela Paduano,83,58,24,63,70
Lance Cody,79,68,14,4,71
Bobby Wiseman,49,50,31,89,84
Violet Smith,13,26,100,63,85
George Simmons,1,17,33,61,95
Esther Willis,90,51,51,34,90
Anthony Morey,24,76,29,11,60
Shelby Wilson,26,61,27,0,88
Mary Oddi,11,64,87,97,20
Debra Mcqueeney,77,12,4,87,20
Robert Smith,24,55,15,78,70
Aisha Batts,19,43,22,74,73
Janet Dewitt,38,79,50,33,42
Maxine Freshour,63,65,17,50,26
David Sheets,24,48,11,56,85
Gail Burciaga,38,63,10,54,50
Dennis Erwin,0,25,26,4,51
Gertrude Hansen,72,37,28,91,48
Monica Conley,65,47,71,87,56
Helen Xayasith,23,69,31,44,24
Leroy Brookes,15,47,51,83,47
Joel Meffert,2,99,47,59,69
Eugene Cothren,80,53,27,26,67
Gladys Orozco,36,94,31,70,58
Emma Daise,33,53,64,83,72
Amy Mcdonald,37,27,7,73,16
Jean Elias,68,98,100,26,14
Andrew Larocca,77,97,32,41,13
Susan Schultz,83,69,10,6,72
Ann Cameron,51,14,14,65,11
Sheena Collins,86,96,47,90,5
Brenda Talley,7,3,39,61,82
Charles Moorehouse,25,47,83,22,3
Carol Thrall,43,41,16,72,21
Jorge Silvers,55,53,38,43,59
Antonio Holloway,82,63,78,81,13
Marie Black,20,53,5,48,64
Cheryl Durant,11,13,66,45,60
Barbara Smsith,88,1,2,12,29
Robert Rivera,44,82,71,66,93
Sharon Jones,12,40,63,76,14
Julie Blair,46,90,12,7,15
Gertrude Cunningham,45,33,97,62,88
Bettie Coleman,95,75,74,8,85
Leticia Aaron,16,8,13,21,59
Don Pressley,99,7,22,96,53
Scott Houston,2,23,74,100,93
Mark Smith,52,6,90,51,4
Franklin Snell,4,66,78,68,3
Hector Mcdermott,100,47,30,36,13
Dena Clayton,64,52,58,85,87
Leon Erway,38,0,53,29,9
Len Welch,86,87,13,40,54
Helen Numbers,95,7,63,52,43
David Bogar,70,48,4,70,2
Mary Orr,51,51,84,14,65
John Hissem,71,46,95,0,61
Audrey Tinkle,80,33,22,92,41
Melissa Geiger,26,68,6,89,65
Judy Howard,47,57,10,76,61
Richard Smith,18,10,35,69,62
John Austin,79,29,28,91,2
Philip Elliott,5,89,71,25,92
David Haney,31,34,41,50,37
Candace Johnson,23,83,79,87,6
Ana Estimable,78,28,29,65,44
Tiffany Blakely,43,76,83,26,82
Lori Shenk,46,83,70,62,97
Sacha Johnson,41,22,33,31,12
Carol Hursh,23,18,59,68,95
Michael Kaufman,83,37,61,80,58
George Lopez,39,5,38,40,78
Kathryn Denny,19,47,80,88,26
Ernesto Walker,35,33,3,52,63
Richard Ewing,87,54,44,77,80
Adela Shelby,20,31,51,13,23
Vera Bennett,31,4,78,43,6
Fred Ruiz,100,100,80,87,84
Clara Sheridan,15,48,70,37,95
Vivian Gray,67,49,12,52,57
Scottie Munns,48,17,87,58,49
Ayanna Mack,21,10,62,60,58
Catherine Murphy,1,55,96,5,45
Mary Bickley,10,55,80,73,61
Roger Bogart,0,76,28,39,57
Carolyn Hughes,55,29,69,16,69
Larry Vasquez,3,5,10,7,99
Damian Farmer,13,57,21,78,8
Anthony Neff,78,73,52,3,76
Jesse Hargett,73,28,89,71,11
Dennis Beltran,36,19,17,68,67
Ervin Klima,66,76,26,59,63
Kim Boston,71,21,16,66,100
Mae Valliere,22,76,40,29,23
Wayne Divers,75,21,46,9,49
David Watson,27,33,97,75,17
Patricia Martinez,23,38,45,90,61
Lorraine Page,26,100,40,96,70
Theresa Chen,76,67,51,43,21
Tamara Phillips,77,45,96,63,94
Edward Jones,43,55,12,1,44
Edwin Peterson,91,62,73,10,97
Elizabeth Mayo,60,35,91,87,85
Robert Miller,15,63,95,55,23
Chantel Mckenzie,48,80,11,10,66
Shawn Jackson,75,75,31,87,75
Ignacia Briggs,71,65,84,3,50
Trevor Karn,5,86,63,46,74
Cindy Outen,20,81,78,16,31
Connie Goff,60,76,18,47,59
Cherie Saballos,34,38,14,79,66
Tracey Cady,22,78,77,73,59
Robert Colone,86,22,39,19,9
Charley Campbell,36,45,9,15,32
Betty Canaday,10,80,19,12,21
Lonnie Rezak,35,1,69,67,2
Eva Benson,74,34,82,46,91
Joey Adams,6,90,89,81,78
Clara Alcantara,14,68,64,69,73
Sarah Thompson,48,55,70,24,91
Kathryn Cantu,50,64,98,69,48
Robin Pires,53,37,23,29,53
William Sicilian,37,23,41,99,98
Christopher Mcbee,97,62,34,46,100
Jason Harmon,67,19,87,20,77
Curtis Frye,57,58,99,61,85
Felipe Howell,78,2,12,71,76
Loretta Julien,96,0,22,25,63
Tina Gonzalez,63,85,22,98,71
Anthony Mallory,20,30,23,62,3
Evelyn Castillo,41,82,34,37,73
James Case,91,29,40,89,77
Amanda Thompson,29,12,42,43,19
Elizabeth Hernandez,13,72,18,93,0
Tina Riddell,100,28,74,34,24
David Perkins,72,76,88,19,55
Brianna Brown,24,51,55,96,44
Wesley Miller,33,74,86,69,41
Anthony Lee,38,85,74,25,78
Janet Allison,71,73,61,54,63
Lourdes Phillips,78,5,42,88,35
Imelda Smartt,92,9,13,55,39
Joseph Gan,84,39,71,12,96
Alvaro Leeper,12,88,98,69,51
Tonya Stapp,64,88,98,30,43
Priscilla Woodson,61,38,40,79,21
Thomas Summers,58,18,27,85,92
Jennifer Jordan,23,22,98,60,79
Thomas Stahr,83,85,38,11,95
Audra Haight,42,86,67,44,99
Mary Porter,44,86,89,90,17
Nathan Poe,75,92,43,42,10
Ada Lewis,85,63,9,95,90
Ruth Hedin,57,50,1,64,70
Edward Membreno,70,3,53,44,63
Jesse Merrick,93,77,58,44,42
Leslie Roberts,3,17,70,81,24
Frances Murphy,37,38,78,26,9
John Elie,74,10,6,9,73
See Werner,29,7,5,91,28
Raymond Murphy,53,6,76,71,22
Heather Bolanos,58,88,45,18,72
Holly Dozier,53,22,26,9,78
Bennie Lied,84,49,25,87,88
Kathryn Witt,3,53,81,74,59
Selena Hatch,45,56,39,84,83
Andrew Walker,76,60,45,80,38
Brittany Wilson,42,64,38,88,0
Sally Sankey,29,67,36,64,51
William Boynton,79,48,40,73,29
Albert Crespo,46,89,38,26,83
Patricia Comstock,13,45,63,1,48
Doris Stone,23,1,98,45,70
Christopher Peterson,88,78,61,29,36
Marvin Marshall,63,53,66,31,41
Judith Dooley,33,78,19,2,11
Susan Benavides,35,39,94,95,58
Richard Silva,99,78,16,92,10
Jo Chee,0,49,57,97,62
Joan Jordan,9,20,63,50,94
David Jacob,77,2,51,3,94
Aileen Beck,91,7,12,47,31
Pamela Laderman,84,36,95,87,60
Eric Flores,38,43,21,36,52
Dale Everett,75,13,89,93,30
Sophia Cunningham,88,75,56,80,8
Susan Vanleuven,51,90,34,94,0
Anthony Walker,73,45,24,28,52
Gina Ayer,43,1,87,40,49
Thomas Davis,29,73,53,64,1
Betty Wykes,67,33,33,98,37
Elvina Pierre,65,98,45,33,19
Karen Savoy,66,91,15,85,49
Tracy Lonergan,78,44,75,73,53
Paul Allen,71,87,79,75,47
Mary Pitts,98,77,23,55,90
Dorothy Morris,57,73,98,99,58
Joyce Trotman,62,43,72,7,52
Kenneth Allen,58,99,24,79,60
Joseph Sibley,85,77,8,33,22
Michael Vaughn,57,56,16,93,30
Gladys Alvarez,1,56,85,7,84
Donald Mcknight,26,16,0,88,69
Gavin Young,74,11,50,9,9
Douglas Gunter,74,56,96,35,84
Rene Jopling,3,42,70,88,69
Mamie Delisle,42,67,13,65,51
Joseph Hood,64,50,53,95,90
Stephen Parker,92,1,80,76,70
Timothy Raney,89,22,85,89,47
Jason Ryan,3,83,31,47,24
Gail Smith,80,91,24,31,51
Larry Domingues,23,97,75,100,56
Dorothy Gray,33,84,54,6,9
Elizabeth Rappa,24,97,12,37,17
Shawn Lawson,30,80,74,12,26
Natalie Neault,79,46,92,43,46
William Breedlove,76,72,38,33,85
Frances Maldonado,93,30,89,89,2
Jeannie Benjamin,33,1,86,86,56
Charles Hill,77,56,90,81,79
Michael Higgins,83,67,63,9,64
Edgar Ander,50,60,36,97,0
Mary Whatley,54,18,82,21,30
Johanna Summers,76,23,80,15,8
John Pettrey,22,64,86,24,14
Thomas Depriest,41,74,40,40,33
Dorothy Purcell,66,27,13,22,67
Randy Whitton,30,61,39,7,49
George Cox,67,50,19,8,45
Tim White,63,50,52,52,44
Jeff Mcdanel,39,38,48,58,6
Robin Silva,62,79,45,34,39
John Corsaut,68,4,13,78,68
Frank Lewis,81,56,56,6,34
Lorraine Summer,70,36,99,88,89
Melinda Wade,64,3,53,49,88
Kevin Young,48,60,4,94,10
Nina Salvas,15,27,68,100,68
Corey Rothermel,2,59,61,21,0
John Roy,72,20,13,46,67
Stephanie Burden,87,94,69,37,4
Jack Broyles,66,94,30,77,13
Jeff Jackson,78,67,68,59,11
Kelly Hagee,15,43,76,64,58
Earl Addison,56,40,34,91,72
Brenda Albin,45,53,7,34,47
Thomas Haertel,12,18,18,26,80
Anna Stevens,18,37,40,39,66
Walter Ward,44,94,56,98,52
Harriet Clifford,16,31,88,68,69
Douglas Ortiz,87,50,7,52,4
Theodore Boney,35,59,68,90,39
Robyn Turner,37,40,64,24,82
Kenneth Rorie,19,82,24,64,21
Ronald Kiel,29,93,86,14,92
Joe Ness,94,94,59,16,98
Elizabeth Whitney,84,82,64,65,17
Tyrone Kilby,95,54,47,5,45
Pamela Herrel,7,84,100,89,43
Jayne Mancia,12,0,18,89,47
Jeff Carrozza,87,56,73,79,42
Anthony Stone,78,43,1,43,51
Jennifer Erickson,37,56,28,48,49
Barbara Phillies,99,14,30,92,44
Frieda Cordova,39,89,62,28,28
Rufus Angel,1,23,0,92,41
Margaret Okeefe,49,61,35,67,67
Christopher Hamberg,54,40,79,70,96
Bette Peterson,20,61,34,38,37
Catarina Moye,23,92,49,47,25
Larry Witt,67,71,78,15,79
Robert Fort,41,13,25,98,66
Elijah Huskey,97,6,63,17,22
Rebecca Bair,84,76,81,3,49
Perry Ellis,46,31,85,27,75
Natalie Thompson,80,66,88,43,100
Elizabeth Guinane,44,66,93,27,86
Frank Skees,74,79,87,82,12
Michele Packard,68,34,96,76,36
Matthew Pleasant,15,47,40,98,73
Charles May,6,47,26,95,6
Howard Fransen,65,81,75,74,11
Laura Courtwright,41,32,92,14,62
Josephine Austin,30,0,66,83,83
Ruth Croker,46,26,60,80,86
Kathleen Lew,11,89,28,76,87
Wanda London,8,47,56,44,63
Clarence Tinney,85,75,83,10,84
Terry Farley,8,3,8,49,72
Christina Reyes,89,51,12,33,12
Samuel Bentz,10,5,50,63,27
Jerome Johnson,6,67,57,62,0
Joy Ware,42,86,75,8,78
Mariann Goodwin,56,54,84,23,51
Janice Fico,95,72,50,56,79
Bethanie Burns,67,97,9,95,80
Deborah Wilson,73,72,0,19,1
Jerry Lesh,89,67,58,31,65
Andrea Hudley,11,97,90,57,11
Ronda Linkous,83,88,47,46,97
David Bryant,93,11,2,54,66
Melissa Young,96,83,100,94,11
Anthony Slatton,67,10,59,58,54
Tracy Aragon,14,98,65,37,95
Susan Clarke,41,88,78,81,88
Elaine Sapienza,41,11,43,39,34
Griselda Solomon,75,55,100,94,30
Rosa Rosales,20,31,38,99,70
Lorraine Johnson,90,63,89,95,72
Rosalee Dumas,29,54,79,12,48
Sergio Marsh,91,49,22,97,75
Brett Benge,70,65,29,53,42
Ashley Davis,13,65,31,84,77
Robert Rodrigues,74,14,58,96,13
Peggy Argento,53,45,4,3,63
William Peters,57,15,89,48,88
Amanda Shuck,10,69,42,47,16
Carol Myrick,49,13,17,35,55
Ricky Ruscio,49,48,29,44,47
Juan Rolling,31,53,44,5,58
David Hartfield,14,68,91,91,83
Charles Hassell,62,10,46,40,38
Rose Gates,100,17,45,55,32
Eileen Rhee,32,34,49,36,4
Paula Grady,93,35,25,14,7
John Agnes,51,77,28,12,31
Jayne Odom,37,13,65,65,100
David Pollard,17,15,5,48,77
John Hammes,24,9,13,57,92
Janice Stephens,78,54,77,40,63
Israel Hosler,81,84,78,28,26
Minnie Bekins,72,35,25,16,44
William Weeks,26,97,24,15,11
Jan Robert,60,64,6,60,19
Jesus Lancaster,41,51,80,95,43
Pamela Smith,42,26,92,39,81
Vernie Bartholomew,58,0,52,93,83
Robert Stcharles,96,5,54,54,76
William Kloepper,83,7,46,27,15
Torrie Geier,49,41,53,10,87
Roger Ladd,63,80,35,1,94
Stephanie Chaffin,76,79,47,9,53
Valerie Goodemote,78,40,8,6,83
Brian Ramseur,81,49,5,33,39
Diane Bohlke,7,70,97,81,29
Gerald Solis,13,40,25,54,83
Emily Wang,64,49,90,79,19
Antonio Cruz,99,25,11,62,74
Sallie Gibson,32,92,26,4,72
Sue Hayden,47,86,74,46,9
Pat Williams,31,30,13,35,81
Vincent Nichols,33,80,98,12,77
Dante Connell,46,33,5,18,52
Richard Stone,22,45,64,49,32
Carrie Ortega,87,36,57,21,17
Eric Garafano,48,7,65,7,94
Mabel Berg,81,24,55,56,52
Dolly Davis,64,29,74,10,31
Frances Kennedy,73,75,5,22,36
Nicholas Barnes,56,26,60,8,52
Heidi Reeves,22,20,54,46,5
Thomas Larsen,59,98,98,41,2
Luis Carlson,3,27,19,17,100
Jason Olivarez,87,28,25,9,89
Wilber Spada,12,88,23,24,43
Margaret Hardeman,16,91,57,51,35
Eric Heard,28,95,45,93,60
William Lipps,19,52,37,10,52
Rosemary Lyon,79,78,95,100,41
Francis Pearson,77,6,85,72,82
William Crossno,47,66,1,11,21
Lucia Smith,79,56,42,40,82
Marie Fleming,70,47,32,65,62
Kathryn Pipes,54,15,28,11,0
Angela Lord,8,13,29,89,99
Terry Sadler,12,47,98,86,54
Karen Blais,40,29,90,1,19
Deborah Robertson,61,3,6,96,89
James Glover,44,16,25,41,22
Mary Hubbard,93,44,24,40,17
Jean Ellis,23,19,96,84,34
Lois Gerbatz,21,15,94,94,52
Paul Williams,52,23,79,27,4
Lisa Walker,77,92,48,38,66
Brian Pryor,83,29,65,34,9
Juanita Brooks,33,19,41,55,62
Sarah Dobbins,0,26,88,20,21
William Dixon,52,67,6,17,68
Andrew Fortin,24,72,59,48,83
Claude Tyson,55,67,46,41,75
Matthew Brown,0,1,51,9,63
Andrea Owens,68,59,49,51,48
Judith Sayman,95,66,16,5,90
Emil Criss,46,23,80,75,97
Angela Lofton,38,90,47,45,13
Patricia Lowery,32,27,60,10,52
Harry Bahr,29,44,92,15,58
James Doane,20,1,23,28,56
Darla Finch,15,24,58,64,60
Marjorie Merrill,24,96,100,92,75
Vicki Sexton,27,69,24,87,67
Jimmy Mcpartlin,12,66,42,58,78
Brady Garcia,34,77,66,59,58
John Hughes,89,55,50,63,8
Kathleen Blane,80,40,1,2,72
Lavina Aucoin,68,52,37,43,28
Richard Martin,15,69,27,55,10
Christopher Witt,67,45,16,90,86
Sheila Sandmann,55,17,90,29,73
Mariela Littlefield,60,51,27,44,92
Amanda Woodworth,24,1,27,45,79
Marcus Weaver,40,55,45,71,55
Cary Nelson,58,74,87,19,36
Kenneth Seymour,60,85,24,21,13
David Pemberton,70,31,35,53,5
Thomas Hardy,14,8,86,8,20
William Kimball,86,92,75,98,47
George Brooks,75,32,76,8,78
Ruth Chaney,76,89,77,35,20
Aaron Huffman,79,84,18,25,79
Gary Lazor,15,98,26,28,49
Grace Meredith,84,45,20,86,5
Salvador Dardar,15,73,13,11,43
George Reifsteck,89,32,49,76,77
Stella Porter,20,75,24,3,58
Bertram Young,39,74,40,81,30
Dorthy Sanders,55,66,41,51,97
Caroline Mayes,31,90,33,97,59
Jose Bacon,83,37,70,8,98
Richard Wilson,1,4,41,43,82
Danny Garcia,83,8,12,58,9
Marva Payne,44,29,99,32,62
Kathy Hardy,93,91,99,6,79
Alan Etienne,37,20,32,71,12
Nellie Mackillop,63,52,0,73,61
Dana Vasquez,27,53,38,44,92
Geraldine Taplin,92,34,64,92,60
Martha West,46,15,19,95,33
Heather Coleman,58,34,98,78,73
Pearl Montero,69,29,8,88,51
Kim Ullmann,83,74,39,59,46
Douglas Vanslyke,73,48,70,62,62
Juan Goode,1,98,69,57,94
Debbie Pace,82,4,65,22,7
Andre Ser,74,68,11,71,89
Rocio Vaughan,42,83,38,90,56
Michelle Senne,45,95,63,60,2
William Alvarado,7,91,58,68,78
Mary Resendez,36,100,64,6,7
Sharon Schenk,37,78,100,48,33
Elizabeth Ventura,74,62,88,75,25
Daniel Dozier,30,73,79,15,62
Thomas Derryberry,21,7,31,50,85
Sarah Campbell,56,98,94,60,62
Jordan Leatham,17,7,47,2,31
Patrice Carey,50,9,58,6,51
Rhoda Spencer,23,49,17,56,85
Patricia Worth,18,6,11,48,88
Cesar Diamond,18,87,13,10,23
Nellie Champ,64,30,86,43,19
Helen Foutch,29,55,87,6,74
Nanette Ong,100,50,91,92,41
Joseph West,63,97,5,92,69
Mitchell Rubin,76,54,52,100,71
Mary Woodhouse,80,49,20,33,50
Valeri Mace,55,76,38,23,65
Gina Warner,56,82,36,93,65
Cynthia Beauregard,84,63,4,59,62
Oscar Rivera,87,69,97,71,54
Ken Green,80,59,82,28,24
Jason Crocker,23,85,50,3,21
Sharon Hansen,93,80,41,22,34
Christina Nachtrieb,53,84,45,37,99
Evelyn Mccray,35,99,68,60,55
Roy Hunter,65,24,66,94,88
Marla Bryant,16,1,4,96,69
Keli Puentes,76,10,84,84,86
Henry Mazza,76,96,59,33,58
Judy Chandler,86,6,15,91,13
Carl Ploof,78,16,93,59,62
Elnora Reyes,79,29,63,44,97
Sarah Walker,35,72,32,1,59
Ella Beam,3,90,87,27,0
Christopher Mccool,87,55,84,83,54
Rhonda Coon,89,4,25,26,52
James Agnew,99,33,1,11,79
Julie Arnold,19,34,90,96,58
Danny Schuyler,0,91,13,37,81
Linda Cain,62,97,65,18,27
Joann Caggiano,87,14,54,97,20
Charles Gavin,5,57,17,82,49
Michael Black,25,77,96,44,69
Robert Dudenhoeffer,97,35,5,40,32
