name, math, english, programming_1, programming_2, statistics
Roselle Hunt,83,0,45,94,23
Tim Mandolini,87,11,6,78,64
Kenneth Serbus,38,48,13,77,65
Anna Leppert,57,34,47,5,28
Carol Puleio,14,42,7,56,1
Karyn Simmons,79,3,86,25,58
Damien Gomez,28,14,27,8,90
Jack Bailey,95,26,96,6,8
James Johnson,63,86,67,68,34
Patsy Corbin,85,5,16,46,1
Gloria Bauder,22,18,72,40,13
Edward May,67,18,79,83,35
Adriana Griffith,56,25,48,41,50
Vicki Byrne,5,21,88,37,51
Elizabeth Jensen,53,76,41,99,11
Kathy Mahoney,74,46,63,78,64
Judy Paulsen,30,34,43,81,37
Richard Noe,100,74,95,30,46
Sean Hodgins,91,48,81,31,87
Sherri Britt,82,48,20,42,71
Stella Powell,0,87,44,99,50
Kevin Jimerez,92,71,26,70,73
Dean Wright,22,71,75,39,91
Mamie Miner,79,100,12,55,67
Jennifer Castillo,4,69,39,74,100
Sally Pereira,0,2,37,73,22
Tommie Brown,44,2,32,98,65
Gloria Gliem,43,57,76,52,24
Robert Mitchell,61,20,75,39,28
Mary Bass,52,81,10,60,43
Floyd Phillips,20,25,36,60,93
Heike Nylen,38,52,1,21,22
Trenton Martello,53,5,84,61,22
Joyce Schwipps,71,76,16,43,19
Christopher Rose,19,52,99,58,71
Katie Nunn,92,11,88,92,42
Leah Green,30,15,44,66,24
Domonique Gonzalez,25,98,65,22,32
Lori Zimmerman,84,97,71,28,13
Amy Duncan,70,11,84,31,56
Crystal Ramos,19,41,45,60,43
Anna Vara,40,50,69,87,80
Richard Hard,72,69,96,24,99
Juan Williams,2,47,2,67,2
Thomas Browne,24,56,21,43,18
Patricia Lynch,44,73,46,34,52
Doris Braun,6,56,45,28,29
Katrina Cole,95,96,51,58,90
Steven Huckins,59,35,25,44,34
Floyd Bryant,93,85,98,94,35
Tina Bissett,87,11,49,1,91
Brenda Brooks,0,100,16,77,72
Vera Knowles,24,3,81,49,5
Sara Browen,92,5,83,47,91
Tia Mcwhirt,50,74,10,97,29
Alisa Aguilar,56,26,94,94,2
Justin Couch,17,16,26,49,57
Mary Ferguson,27,79,95,10,56
Denise Rock,32,15,83,12,13
Ignacia Rowe,31,74,13,83,51
Michael Peery,13,66,22,42,68
Karla Le,0,1,32,89,66
Deloris Mansfield,99,39,95,25,93
Kimberly Decosta,64,5,59,48,66
Kelly Lynch,11,86,45,7,98
Stephanie Ellis,38,75,9,58,69
Dana Pollock,57,45,43,25,58
Dwayne Gardner,4,25,15,25,72
Irene West,45,7,100,78,35
Jina Whaley,50,97,48,5,16
Craig Coles,74,54,85,37,73
Mary Davis,12,86,50,16,90
Keisha Busby,18,67,5,39,94
Michael Sapp,18,57,16,42,81
Willie Newnam,42,34,18,13,69
Marcia Goldman,9,63,27,76,26
Robert Edward,56,51,78,12,35
Rita Bell,32,96,60,61,71
Scot Mason,85,77,64,45,58
Mary Roberts,78,37,43,46,7
Brent Jones,96,64,35,78,83
Maudie Cowen,80,19,26,11,100
Marvin Riley,17,26,43,2,69
Thomas Liff,60,0,94,11,77
Tony Klingensmith,88,43,51,19,49
Jimmy Dill,81,61,15,69,87
Stuart Stewart,18,32,74,83,84
Joseph Martinez,19,27,39,49,40
Norma Young,80,78,56,17,53
Mike Bess,38,71,70,66,52
Virginia Bassetti,66,100,49,72,92
Amber Adams,47,63,69,80,83
Martha Wallis,85,7,19,45,67
Steven Eure,61,5,19,32,96
James Harvey,47,40,92,23,40
Edna Smith,86,46,81,79,22
Jon Jones,90,35,21,98,51
Luke Bates,68,48,25,53,46
William Campbell,49,100,55,22,96
Kara Knowles,76,30,64,43,54
Heather Canchola,4,26,81,31,16
Loretta Miller,65,61,97,63,91
Jennifer Ray,11,88,83,47,75
Caroline Nikas,46,56,8,3,87
Paul Laster,53,75,1,25,86
Guillermo Williams,63,50,24,32,24
Minnie Baker,55,9,99,54,80
Mark Russell,16,76,3,53,29
Martha Franklin,85,60,40,97,14
Woodrow Carter,80,19,21,11,99
Mae Grant,54,90,43,37,62
Thomas Mullins,97,8,12,46,99
Christopher Adams,71,46,61,59,79
Martha Dodd,32,87,24,75,3
Timothy Foster,85,88,23,82,71
Ruby Treto,30,63,93,34,88
Daniel Hansen,72,36,89,78,69
Nick Frantz,84,15,81,79,97
Daniel Griffin,2,95,48,49,22
Richard Price,14,42,69,26,53
Amy Wojner,98,37,36,59,16
Michael Mack,96,66,31,90,36
Richard Keyt,62,20,50,79,12
Gina Salazar,71,31,70,54,95
Anna Goshorn,27,32,42,18,26
Robert Bilodeau,95,93,25,47,17
Anthony Kerr,6,70,90,50,76
Sergio Thomas,67,41,73,65,75
Tiffany Brandon,38,57,82,22,61
Robert Bednar,26,73,56,80,5
Harvey Theis,83,84,28,39,62
Nellie Reis,97,93,81,12,60
Alan Hamilton,61,54,27,45,27
Margarita Mays,11,52,45,62,42
Mary Alberto,35,18,69,56,57
Janet Enriquez,39,56,62,79,94
George Hoffman,99,96,25,44,46
Glenn Burkett,65,68,1,24,17
William Elliott,52,22,51,20,23
Leon Leonardo,20,20,99,13,23
Matthew Seal,69,73,19,66,68
Jennifer Ryan,53,46,50,83,72
Dorothy Lara,44,70,88,90,68
Lawrence Stout,31,50,44,91,100
Opal Leon,1,38,5,5,87
Candida Beeler,72,18,73,100,94
Melody Hoston,70,78,98,99,32
Kevin Christensen,40,1,48,22,54
Terrell Leffew,61,97,66,19,67
Thomas Schall,55,24,28,53,57
Kevin Jardell,7,11,93,10,1
Curtis Koehn,11,2,44,0,31
Charles Ashford,43,33,7,74,3
Michelle Lott,89,5,52,8,17
Jordan Collins,44,80,79,56,37
Norman Otoole,98,71,24,43,2
Rodger Rivera,49,14,23,68,28
Kerri Lopez,98,16,63,44,95
Kimberley Palma,40,93,78,69,98
Albert Guillory,76,22,35,2,82
Vanessa Montgomery,82,16,90,38,5
Pamela Locke,25,3,31,6,67
Sandra Allen,36,77,32,81,46
Jimmie Huff,4,97,8,97,26
Victor Dixon,38,85,51,90,46
Iris Griffin,55,56,70,27,13
Ricky Voyer,90,99,26,76,49
Edith Leising,69,95,6,70,16
Cortez Zhong,94,85,73,87,33
Joseph Meadows,43,12,63,33,47
David Munnerlyn,5,10,14,43,66
Henry Fusco,71,78,92,10,57
Sharon Avina,93,68,76,99,53
Timothy Hayes,26,30,71,50,73
Maudie Berry,92,79,45,48,86
Jerald Lowery,18,24,12,96,97
Allison Morris,58,79,38,73,79
Brian Garcia,42,31,89,7,28
Arnulfo Depp,95,24,70,14,35
Jeffrey Avery,71,25,37,1,58
Valerie Kowalsky,46,8,27,24,35
Dean Sharr,93,67,6,4,97
Raymond Edwards,73,96,77,66,47
Gloria White,67,29,10,53,54
Marie Dyer,2,53,65,19,93
Colby Bollinger,43,8,76,99,87
David Baber,72,32,75,75,62
Christopher Lund,89,68,62,5,59
Heidi Bonner,63,62,86,95,79
Jimmy Howard,22,2,52,35,95
Valerie Segura,51,92,64,51,89
Erika Diaz,19,76,64,61,56
Everette Baumgarter,24,5,82,44,64
Robert Alonso,81,30,49,81,76
Edward Thomas,93,48,44,61,31
Dustin Turner,22,0,93,70,74
Doretha Wallis,8,22,6,78,32
Martin Kluesner,39,7,13,37,44
Russell Timko,87,4,82,50,80
Jason Ambrosino,85,82,15,68,19
Larry Pate,97,90,58,96,81
Brian Wiesner,60,31,46,11,36
Fannie Wallace,46,36,76,49,44
Jeff Espinoza,58,84,96,83,21
William Owens,87,83,56,29,94
Betty Harris,86,82,61,21,68
Timothy Burns,11,61,48,17,82
Leslie Castle,62,40,19,84,11
Richard Williams,83,63,39,42,60
Alvin Felmet,85,34,40,35,83
Carrie Schwartz,98,7,44,33,69
Robert Stumpff,43,74,7,48,33
Katrina Pickett,63,57,98,13,14
Jacqueline Boice,28,99,31,78,83
Laura Noonan,36,84,0,80,59
Susan Santoyo,88,27,88,56,65
Daniel Coyne,50,3,62,10,73
Scott Nichols,19,80,50,70,96
Ann Kimble,8,72,75,33,81
Jose Pritts,0,11,75,52,30
Mary Beckman,91,15,82,68,86
Vernon Goodson,41,27,4,8,2
Teresa Hughes,23,98,9,40,46
Charlie Gomez,100,94,55,79,49
Ali Kautz,18,68,93,100,37
Brian Blair,59,95,57,36,27
Betty Rivas,22,14,63,49,78
Elisa Birge,29,94,59,79,72
Angela Simpson,47,95,93,76,25
Luther Lockhart,3,66,55,21,39
William Henderson,81,25,11,90,60
Clyde Willems,6,30,28,94,64
Ruth Sneed,31,13,69,43,61
Thomas Hamil,51,36,75,64,44
Krystal Ewing,40,98,94,28,17
Marlene Williams,63,73,40,6,57
James Everett,43,38,76,5,98
Virginia Donaldson,53,38,74,6,100
Brant Davis,71,52,29,86,88
Brian Yun,5,61,88,29,47
Lisa Radke,28,95,61,56,16
Louise Thornton,77,74,78,56,35
Helen Mckeon,78,22,33,20,5
James Kaster,48,57,48,76,27
Jeremy Delallo,95,5,10,87,90
Alma Grier,58,37,41,9,80
James Piatkowski,31,99,57,59,22
Christopher Schwend,87,12,85,19,21
Amber Hoffman,100,80,40,4,63
Raeann Burd,89,74,6,20,36
Dillon Torres,46,14,88,94,55
Bessie Balint,6,95,48,0,68
Melanie Ortiz,86,5,80,61,79
Hilario Fairfax,41,85,31,44,78
Jennifer Quinn,25,69,94,3,38
Kevin Hoosier,97,29,69,83,39
Mary Zywiec,73,15,44,39,5
Stuart Vanderschel,93,81,4,88,17
Lorraine Goodwin,76,55,29,53,65
Arthur Bibb,31,65,49,5,97
Michael Glenn,96,84,24,99,78
Avery Harrison,96,3,72,82,53
Bessie Cobb,28,43,96,19,93
Elizabeth Renteria,98,58,7,62,49
Abraham Lisbey,81,18,15,74,66
Terry Jenkins,37,57,35,50,49
David Obrien,89,14,37,71,77
John Marrin,93,25,74,72,21
Olga Cumming,16,13,60,41,14
Carolyn Gaston,25,53,65,76,69
Robert Swint,36,94,78,3,32
Lillie Towler,86,54,4,42,52
Peter Chun,3,74,56,99,50
Patrick Holst,13,6,74,18,90
Irma Humphrey,98,76,34,38,46
Richard Kern,69,16,80,18,32
Joseph Rains,46,64,84,28,97
Patrice Worsham,46,59,94,19,63
Chrystal Pham,59,22,93,69,15
Rocio Mendez,12,73,39,66,15
Darleen Rodriquez,32,0,70,85,85
Shelby Cox,20,2,37,87,98
Bernice Nichols,58,8,32,15,94
Timothy Manlangit,82,43,92,72,61
John Andrew,9,73,25,16,46
Crystal Hanlon,21,92,72,13,56
Sean Munoz,93,29,12,44,100
Roy Morris,60,51,7,96,19
Mary Lord,65,98,73,43,60
Melanie Tapia,73,83,18,100,79
Franklyn Blum,31,98,51,61,16
Mildred Allen,46,43,28,91,11
Brenda Taylor,33,10,43,35,94
James Austin,46,83,37,12,95
Scott Austin,26,92,73,2,86
Grace Dunn,94,23,6,83,62
Robert Green,70,64,11,82,85
Jon Dotson,88,62,24,31,48
Richard Black,39,56,39,55,39
Cari Tape,44,14,86,95,11
Richard Park,97,85,28,35,8
Reagan Price,54,3,54,54,4
Diane Myles,53,60,62,13,69
Terry Browning,57,8,58,22,53
Andrew Dickerson,64,52,41,100,77
Raymond Espinosa,97,53,29,83,92
Ryan Hazley,3,26,91,52,51
Chantal Galloway,6,41,62,85,89
Jeffrey Mason,19,56,25,51,21
Donna Mull,80,40,40,58,16
Josephine Mcgann,36,71,86,83,19
Deborah Pierce,73,26,21,65,15
Ashley Campbell,63,91,31,5,39
Mary King,89,15,57,16,40
Dale Wise,18,50,0,45,47
Sara Bryant,62,64,50,1,49
Glenn Self,31,29,71,52,77
Barbara Walker,98,48,81,8,40
Gretchen Walker,58,28,25,36,22
Alfonso Armstead,92,9,96,28,90
Edward Newman,27,60,64,48,16
Barbara Bourgeois,12,73,66,43,10
Claude Boucher,17,75,49,98,99
Jo Maupin,20,36,96,27,100
Gary Byrd,37,79,50,40,27
Raymond Dalton,5,58,1,52,68
Francis Washam,37,33,8,93,82
Ruth Freyermuth,61,37,14,39,37
Richard Nugent,30,64,3,15,1
Susan Sebeniecher,2,8,70,93,81
Pedro Koral,14,10,39,16,98
Robert Sanchez,27,79,58,17,77
Walter Santana,99,6,46,19,43
Lenora Steven,23,98,69,74,68
Joanne Branch,81,54,42,100,3
Hector Myles,52,7,59,95,95
Gustavo Gonzalez,19,4,62,10,3
Della Bobek,35,40,23,8,2
Andrew Box,75,86,24,71,7
Mable Anthony,49,5,46,14,82
Anthony Farthing,31,29,65,16,58
Dana Bieker,44,40,16,17,49
Justin Wood,81,43,63,26,1
Mark Parker,75,33,31,58,71
Carolyn Athearn,15,49,50,76,92
Richard Martinez,28,25,65,64,28
Howard Butler,25,34,83,65,57
Glen Brown,6,96,53,95,95
Elsie Odell,62,7,82,2,78
Jean Dean,69,19,28,89,18
Mike Davis,18,9,44,19,77
Alana Hodge,13,53,9,37,43
Richard Dickerson,20,14,99,85,100
Tony Gragg,38,76,81,43,95
John Bunker,29,12,54,91,39
Holly Ard,62,98,75,24,88
John Wesson,95,21,8,16,12
Clayton Williams,71,4,52,86,2
Elizabeth Thomas,100,62,85,61,97
Christopher Geiger,79,58,91,24,26
Kimberly Wright,28,32,28,75,62
Joshua Paris,2,0,71,59,90
Sandra Garay,47,81,24,27,34
Linda Gaskill,5,60,11,13,33
Ronald Gerry,48,44,17,46,59
Linda Ferguson,28,57,4,94,30
Jonathan Harrison,61,73,69,61,73
Scott Hummingbird,45,82,50,3,29
Alice Cannon,42,56,59,23,61
Charles Jones,63,61,89,89,6
William Gentry,52,87,11,57,94
Dawn Brown,83,38,24,65,36
Charles Leak,47,68,88,18,48
Francisco Smith,61,6,95,54,47
Angela Hubbard,86,55,63,69,37
Shelby Barrett,33,20,37,8,65
Annie Schweinfurth,32,36,6,40,15
Chasity Allen,15,16,86,15,34
Julie Davis,14,51,12,57,98
Darlene Weinstein,12,68,59,75,21
Michelle Maddox,84,37,6,93,28
Berry Boudreaux,79,84,57,68,44
Alice Odebralski,29,86,64,4,40
Joshua Copeland,29,76,52,55,90
Josiah Alvarez,87,49,56,11,29
Theodore Bindel,80,12,24,22,45
William Dechant,91,13,81,16,39
Amy Irwin,81,50,4,9,58
Beatriz Fletcher,36,15,12,45,14
Ricky Rutledge,85,10,4,77,30
Robert Horn,20,82,76,59,0
Frances Wheeler,95,99,62,27,5
Theodore Pena,7,0,11,37,3
Joaquin Rios,3,42,53,47,76
Lydia Dison,99,95,22,40,89
Jeffery Hard,9,39,54,16,94
Clinton Murillo,85,87,44,74,77
Robert Pittman,77,50,30,57,8
Alexander Hanson,36,21,18,41,15
Randy Adragna,98,25,54,52,94
Jonathan Mcduffie,78,1,31,36,93
Michael Price,38,7,62,78,44
Harlan Wooten,86,61,19,98,56
Lindsey Shuler,87,98,24,31,51
Louis Mire,16,26,37,92,50
Melissa Cullom,45,48,18,12,9
Rhonda Martinez,39,49,23,73,67
Gwendolyn Webb,58,83,91,48,62
Beulah Guzman,97,80,78,82,82
Daniel Peters,26,96,48,29,91
Morgan Noe,83,96,44,63,35
Kevin Tarzia,9,75,94,44,65
